Nom_gares	Departement	Latitude	Longitude	ID
('Anstaing', '59152', '50.6043089', '3.1889645', 'admin:fr:59013')
('Cysoing', '59830', '50.5647', '3.20942', 'admin:fr:59168')
('Courçay', '37310', '47.2508873', '0.8760917', 'admin:fr:37085')
('Achiet-le-Grand', '62121', '50.1320114', '2.7843609', 'admin:fr:62005')
('Abbaretz', '44170', '47.5525545', '-1.5322775', 'admin:fr:44001')
('Tours', '37000;37200', '47.3900474', '0.6889268', 'admin:fr:37261')
('Aboncourt', '57920', '49.2602817', '6.3463759', 'admin:fr:57001')
('Saint-Germain-en-Laye', '', '48.8990413', '2.0942792', 'admin:fr:78551')
('Abrest', '03200', '46.0980139', '3.4450434', 'admin:fr:3001')
('Deux Rivières', '', '47.6839847', '3.6898895', 'admin:fr:89130')
('Achères', '78260', '48.9606321', '2.0698106', 'admin:fr:78005')
('Ablon-sur-Seine', '94480', '48.7247582', '2.421509', 'admin:fr:94001')
('Tressin', '59152', '50.6167936', '3.1927064', 'admin:fr:59602')
('Aachen', '', '50.776351', '6.083862', 'admin:osm:relation:62564')
('Joué-lès-Tours', '37300', '47.3510905', '0.6622524', 'admin:fr:37122')
('Abancourt', '60220', '49.6977145', '1.7646826', 'admin:fr:60001')
('Niherne', '36250', '46.8288841', '1.5640575', 'admin:fr:36142')
('Genech', '59242', '50.5305709', '3.2141332', 'admin:fr:59258')
('Abbeville', '80100', '50.1060835', '1.8337029', 'admin:fr:80001')
('Adamswiller', '67320', '48.9052331', '7.2036488', 'admin:fr:67002')
